1,1
1,16
1,23
1,8
2,16
2,8
3,1
3,8
3,16
4,1
4,16
4,23
5,1
6,1
7,1
7,23
8,1
8,23
8,8
9,1
9,8
9,16
9,23
10,1
10,16
10,8
11,1
12,1
12,8
13,1
13,8
13,16
14,1
14,8
14,16
15,1
15,16
16,1
16,16
16,8
16,23
17,1
17,23
18,1
18,16
18,8
19,1
19,23
20,16
20,8
20,23
21,1
21,16
22,1
22,23
22,8
22,16
23,1
24,23
25,1
25,16
26,1
27,16
28,1
28,8
29,1
29,23
29,8
30,1
30,8
31,1
32,1
33,1
33,8
33,23
34,1
34,8
34,16
34,23
35,1
35,16
35,23
35,8
36,1
36,8
36,23
36,16
37,2
38,2
39,2
39,22
40,2
40,16
41,2
41,22
41,16
42,22
42,16
43,2
43,22
44,2
44,22
44,16
45,2
46,2
46,16
46,22
47,3
47,23
48,3
48,23
48,14
49,3
49,23
49,14
50,3
50,14
52,3
52,23
52,14
53,3
54,3
54,23
54,14
55,3
55,23
55,14
56,3
56,23
56,14
57,3
58,3
58,14
59,14
59,23
60,23
61,3
61,23
62,14
63,3
63,23
63,14
65,3
65,23
65,14
66,3
67,3
68,3
68,23
68,14
69,14
70,3
70,23
71,3
71,14
73,3
75,3
75,14
76,14
76,23
77,23
77,14
78,3
78,23
79,3
79,23
79,14
80,3
80,14
80,23
81,3
82,3
82,14
83,3
83,23
83,14
84,3
85,23
86,3
86,23
86,14
87,3
87,14
88,23
89,14
89,23
90,4
90,14
91,4
92,4
92,14
93,4
93,23
93,14
94,4
94,23
95,4
96,4
96,14
97,4
98,4
99,4
99,14
100,4
100,14
101,4
101,23
102,14
103,4
103,23
104,4
104,14
104,23
105,23
106,4
106,14
107,4
108,4
109,4
109,14
110,4
110,23
110,14
111,4
111,23
112,23
113,23
114,4
115,4
115,23
115,14
117,14
117,23
118,23
118,14
119,4
119,23
120,4
120,14
120,23
121,4
122,4
122,14
124,14
124,23
125,14
125,23
126,5
127,5
128,5
129,5
130,5
131,5
132,5
133,5
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,5
149,5
150,5
151,5
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
160,5
161,5
162,6
162,19
164,22
164,20
164,19
164,21
165,6
165,21
165,19
165,22
165,20
166,21
168,6
168,19
169,6
170,6
171,6
171,21
172,6
172,22
173,6
174,6
174,19
174,22
174,20
174,21
175,6
175,21
175,20
175,19
176,6
176,21
177,21
177,19
178,6
178,19
178,22
178,21
178,20
179,20
180,6
180,19
181,6
181,19
182,6
182,20
183,6
183,20
184,6
184,20
184,21
184,22
185,6
186,6
186,21
186,20
188,6
188,21
188,19
188,22
189,6
189,22
190,6
191,6
191,19
191,22
191,21
192,6
192,22
192,21
193,6
193,22
193,19
193,20
194,6
195,6
195,20
195,19
195,21
196,6
196,21
196,20
197,7
198,7
199,7
199,21
199,20
200,7
200,20
201,7
201,19
201,22
202,7
202,19
203,7
203,21
203,22
203,19
203,20
204,7
204,19
204,22
204,21
205,7
205,21
205,22
205,19
205,20
206,7
206,20
207,7
207,21
207,22
207,20
208,7
209,7
209,21
209,20
209,22
209,19
210,7
210,19
211,7
211,19
211,21
211,20
212,7
212,19
212,21
213,7
213,19
214,21
214,22
214,19
215,21
215,20
215,22
216,22
216,19
216,21
216,20
217,7
218,7
218,19
219,8
219,16
220,8
220,16
221,8
221,16
222,8
223,8
223,16
224,8
224,16
225,8
225,16
226,8
226,16
227,8
228,8
229,8
230,8
230,16
231,8
231,16
232,8
233,8
233,16
234,8
235,8
235,16
236,8
236,16
237,8
238,8
239,8
239,16
240,8
241,8
241,16
242,8
