1,40000,90
2,40000,138
3,40000,298
4,40000,384
5,40001,338
6,40001,379
7,40001,120
8,40001,373
9,40002,289
10,40002,260
11,40002,300
12,40002,372
13,40003,404
14,40003,92
15,40003,236
16,40003,245
17,40004,411
18,40004,144
19,40004,243
20,40004,228
21,40004,401
22,40004,345
23,40005,63
24,40005,60
25,40006,259
26,40006,1
27,40006,105
28,40006,213
29,40007,78
30,40007,299
31,40008,173
32,40008,261
33,40008,104
34,40008,230
35,40008,186
36,40008,290
37,40009,287
38,40009,412
39,40009,377
40,40009,155
41,40010,189
42,40010,124
43,40011,81
44,40011,222
45,40011,310
46,40012,369
47,40012,251
48,40012,86
49,40012,296
50,40012,369
51,40012,386
52,40013,46
53,40013,393
54,40013,65
55,40013,428
56,40014,127
57,40014,281
58,40015,184
59,40015,204
60,40016,101
61,40016,63
62,40016,77
63,40016,266
64,40017,3
65,40017,247
66,40017,310
67,40017,106
68,40017,147
69,40017,432
70,40018,192
71,40018,213
72,40018,261
73,40019,405
74,40019,327
75,40019,60
76,40019,41
77,40020,230
78,40020,360
79,40020,240
80,40020,79
81,40020,156
82,40020,294
83,40021,86
84,40021,407
85,40021,376
86,40022,425
87,40022,24
88,40022,7
89,40023,292
90,40023,170
91,40024,131
92,40024,82
93,40024,80
94,40024,167
95,40025,80
96,40025,256
97,40025,404
98,40025,263
99,40026,295
100,40026,330
101,40026,381
102,40026,437
103,40026,50
104,40026,85
105,40027,338
106,40027,96
107,40028,448
108,40028,431
109,40028,312
110,40028,321
111,40029,308
112,40029,362
113,40029,371
114,40029,177
115,40030,99
116,40030,442
117,40031,79
118,40031,325
119,40031,122
120,40031,292
121,40032,47
122,40032,398
123,40032,340
124,40032,317
125,40032,10
126,40032,161
127,40033,161
128,40033,425
129,40033,163
130,40034,330
131,40034,22
132,40034,105
133,40035,276
134,40035,26
135,40036,326
136,40036,103
137,40037,11
138,40037,421
139,40037,367
140,40037,123
141,40037,370
142,40037,237
143,40038,279
144,40038,373
145,40038,149
146,40038,24
147,40038,408
148,40038,229
149,40039,366
150,40039,244
151,40039,335
152,40039,249
153,40040,206
154,40040,362
155,40041,288
156,40041,374
157,40042,128
158,40042,274
159,40042,6
160,40043,56
161,40043,101
162,40043,324
163,40043,392
164,40043,36
165,40043,123
166,40044,121
167,40044,212
168,40044,347
169,40045,48
170,40045,205
171,40045,377
172,40045,302
173,40046,270
174,40046,362
175,40046,127
176,40046,79
177,40046,42
178,40046,429
179,40047,59
180,40047,210
181,40048,16
182,40048,237
183,40048,47
184,40048,136
185,40049,233
186,40049,316
187,40049,225
188,40049,9
189,40049,127
190,40049,197
191,40050,141
192,40050,231
193,40050,404
194,40051,169
195,40051,362
196,40051,200
197,40051,409
198,40052,154
199,40052,295
200,40053,86
201,40053,259
202,40053,335
203,40053,170
204,40053,298
205,40053,74
206,40054,170
207,40054,353
208,40054,115
209,40054,277
210,40054,268
211,40054,432
212,40055,313
213,40055,329
214,40055,152
215,40056,46
216,40056,445
217,40057,281
218,40057,147
219,40057,193
220,40057,360
221,40057,438
222,40057,397
223,40058,270
224,40058,55
225,40058,56
226,40058,248
227,40059,177
228,40059,135
229,40059,205
230,40059,241
231,40060,385
232,40060,117
233,40060,237
234,40061,148
235,40061,220
236,40061,301
237,40062,87
238,40062,70
239,40063,35
240,40063,338
241,40063,409
242,40063,190
243,40063,258
244,40063,393
245,40064,70
246,40064,46
247,40064,215
248,40064,2
249,40064,183
250,40064,264
251,40065,173
252,40065,379
253,40065,266
254,40065,396
255,40066,425
256,40066,104
257,40066,246
258,40066,300
259,40067,110
260,40067,209
261,40067,288
262,40068,387
263,40068,91
264,40069,30
265,40069,94
266,40069,178
267,40069,443
268,40069,401
269,40069,248
270,40070,61
271,40070,280
272,40070,23
273,40070,20
274,40071,202
275,40071,108
276,40071,408
277,40071,260
278,40071,423
279,40071,234
280,40072,317
281,40072,328
282,40072,287
283,40073,398
284,40073,73
285,40073,374
286,40074,359
287,40074,91
288,40074,225
289,40074,338
290,40074,396
291,40074,183
292,40075,292
293,40075,56
294,40076,412
295,40076,421
296,40076,275
297,40076,264
298,40076,346
299,40076,184
300,40077,20
301,40077,23
302,40077,50
303,40077,56
304,40077,410
305,40077,55
306,40078,129
307,40078,200
308,40078,118
309,40078,375
310,40079,94
311,40079,323
312,40079,41
313,40080,190
314,40080,378
315,40080,181
316,40081,65
317,40081,285
318,40081,61
319,40081,12
320,40082,436
321,40082,384
322,40082,429
323,40082,214
324,40083,426
325,40083,383
326,40083,419
327,40083,3
328,40084,285
329,40084,376
330,40084,114
331,40084,52
332,40084,11
333,40084,336
334,40085,289
335,40085,2
336,40085,296
337,40086,275
338,40086,27
339,40086,186
340,40086,60
341,40087,293
342,40087,151
343,40088,264
344,40088,268
345,40088,260
346,40089,278
347,40089,442
348,40089,416
349,40089,140
350,40090,95
351,40090,206
352,40090,58
353,40090,242
354,40090,264
355,40090,423
356,40091,123
357,40091,200
358,40091,430
359,40092,171
360,40092,159
361,40093,217
362,40093,325
363,40093,137
364,40093,23
365,40094,216
366,40094,48
367,40094,208
368,40094,129
369,40094,108
370,40094,169
371,40095,402
372,40095,84
373,40095,107
374,40095,445
375,40096,401
376,40096,381
377,40096,262
378,40097,299
379,40097,59
380,40098,390
381,40098,83
382,40098,133
383,40098,72
384,40098,5
385,40098,150
386,40099,217
387,40099,353
388,40099,305
389,40099,101
390,40099,243
391,40099,40
