1, 20290, 90, 40000, 1, 11, 1900, 7
2, 20290, 138, 40000, 0, 14, 1900, 4
3, 20290, 298, 40000, 1, 8, 2000, 1
4, 20290, 384, 40000, 0, 9, 1600, 10
5, 20726, 90, 40000, 0, 6, 1800, 1
6, 20726, 138, 40000, 0, 5, 1600, 1
7, 20726, 298, 40000, 1, 13, 1100, 9
8, 20726, 384, 40000, 1, 9, 1000, 5
9, 20932, 90, 40000, 0, 7, 1900, 10
10, 20932, 138, 40000, 1, 15, 1600, 5
11, 20932, 298, 40000, 1, 15, 1500, 6
12, 20932, 384, 40000, 0, 15, 1200, 10
13, 20067, 90, 40000, 0, 5, 2000, 8
14, 20067, 138, 40000, 1, 8, 1500, 3
15, 20067, 298, 40000, 0, 8, 1400, 10
16, 20067, 384, 40000, 1, 14, 2000, 3
17, 20397, 90, 40000, 1, 10, 1000, 5
18, 20397, 138, 40000, 1, 14, 1600, 8
19, 20397, 298, 40000, 0, 9, 2000, 1
20, 20397, 384, 40000, 1, 6, 1700, 10
21, 20816, 90, 40000, 1, 12, 2000, 1
22, 20816, 138, 40000, 0, 12, 1100, 9
23, 20816, 298, 40000, 0, 12, 1800, 3
24, 20816, 384, 40000, 1, 6, 1600, 10
25, 20796, 90, 40000, 1, 11, 1000, 2
26, 20796, 138, 40000, 1, 9, 1500, 8
27, 20796, 298, 40000, 1, 10, 2000, 8
28, 20796, 384, 40000, 0, 7, 1800, 6
29, 20805, 90, 40000, 1, 5, 1000, 4
30, 20805, 138, 40000, 0, 8, 1800, 5
31, 20805, 298, 40000, 0, 13, 1500, 5
32, 20805, 384, 40000, 1, 6, 1100, 3
33, 20234, 90, 40000, 1, 6, 1800, 7
34, 20234, 138, 40000, 1, 8, 1900, 5
35, 20234, 298, 40000, 0, 5, 2000, 3
36, 20234, 384, 40000, 0, 12, 1400, 2
37, 20500, 90, 40000, 1, 10, 1000, 2
38, 20500, 138, 40000, 1, 7, 1200, 1
39, 20500, 298, 40000, 0, 12, 1400, 6
40, 20500, 384, 40000, 0, 5, 1700, 8
41, 20931, 90, 40000, 1, 5, 2000, 9
42, 20931, 138, 40000, 0, 12, 1900, 2
43, 20931, 298, 40000, 0, 11, 1600, 7
44, 20931, 384, 40000, 1, 7, 1200, 7
45, 20591, 90, 40000, 1, 14, 1600, 4
46, 20591, 138, 40000, 1, 11, 1500, 8
47, 20591, 298, 40000, 0, 8, 1200, 9
48, 20591, 384, 40000, 1, 14, 1600, 10
49, 20600, 90, 40000, 1, 6, 1300, 1
50, 20600, 138, 40000, 1, 7, 1700, 1
51, 20600, 298, 40000, 0, 13, 1400, 10
52, 20600, 384, 40000, 1, 8, 1500, 8
53, 20268, 90, 40000, 0, 5, 1900, 2
54, 20268, 138, 40000, 1, 9, 1400, 3
55, 20268, 298, 40000, 0, 9, 1800, 6
56, 20268, 384, 40000, 1, 12, 1100, 4
57, 20928, 90, 40000, 1, 13, 1700, 8
58, 20928, 138, 40000, 0, 5, 1100, 7
59, 20928, 298, 40000, 1, 9, 1600, 9
60, 20928, 384, 40000, 1, 15, 1900, 4
61, 20093, 90, 40000, 1, 9, 1100, 9
62, 20093, 138, 40000, 0, 7, 1600, 1
63, 20093, 298, 40000, 1, 11, 1500, 10
64, 20093, 384, 40000, 1, 8, 1200, 9
65, 20649, 90, 40000, 0, 15, 1900, 7
66, 20649, 138, 40000, 1, 6, 2000, 7
